PERIODO,REGION,CANAL,FABRICANTE,CATEGORIA,MARCAS,SUBCATEGORIA,EMPAQUES,TAMANIOS,PRECIO_PROMEDIO,VENTA_LITROS,VENTA_VALOR,DIST_NUM_TIENDAS_HANDLING,DIST_POND_TIENDAS_HANDLING,PERIODO_raw,PERIODO_date,date,serie_id
45962,ANTIOQUIA,SUPERETES,POSTOBON,BEBIDAS LACTEAS,BILAC,AVENA,CAJA ASEPTICA,200-249 CC,NA,NA,NA,0,NA,45962,2025-11-01,2025-11-01,ANTIOQUIA | SUPERETES | POSTOBON | BEBIDAS LACTEAS | BILAC | AVENA | CAJA ASEPTICA | 200-249 CC
45870,SANTANDERES,HIPERMERCADOS,ALPINA,LECHE SABORIZADA,ALPIN,CHOCOLATE,CAJA ASEPTICA,200-249 CC,15794.8699,537.95590000000004,8496943.4320999999,100,100,45870,2025-08-01,2025-08-01,SANTANDERES | HIPERMERCADOS | ALPINA | LECHE SABORIZADA | ALPIN | CHOCOLATE | CAJA ASEPTICA | 200-249 CC
45962,ATLANTICO,HIPERMERCADOS,SAN MARTIN,BEBIDAS LACTEAS,SAN MARTIN,GRIEGO,BOTELLA,200-249 CC,38939.354599999999,175.52780000000001,6834939.2390000001,34.782608699999997,43.547600000000003,45962,2025-11-01,2025-11-01,ATLANTICO | HIPERMERCADOS | SAN MARTIN | BEBIDAS LACTEAS | SAN MARTIN | GRIEGO | BOTELLA | 200-249 CC
45931,ATLANTICO,HIPERMERCADOS,SAN MARTIN,BEBIDAS LACTEAS,SAN MARTIN,GRIEGO,BOTELLA,200-249 CC,33858.834999999999,395.67970000000003,13397253.669500001,39.130434780000002,49.258800000000001,45931,2025-10-01,2025-10-01,ATLANTICO | HIPERMERCADOS | SAN MARTIN | BEBIDAS LACTEAS | SAN MARTIN | GRIEGO | BOTELLA | 200-249 CC
45931,ATLANTICO,HIPERMERCADOS,COLANTA,BEBIDAS LACTEAS,COLANTA,YOG CTE + REF LACTEO,BOTELLA,1000-1500 CC,12231.7358,361.85250000000002,4426084.1693000002,52.173913040000002,62.0413,45931,2025-10-01,2025-10-01,ATLANTICO | HIPERMERCADOS | COLANTA | BEBIDAS LACTEAS | COLANTA | YOG CTE + REF LACTEO | BOTELLA | 1000-1500 CC
45901,ATLANTICO,HIPERMERCADOS,SAN MARTIN,BEBIDAS LACTEAS,SAN MARTIN,GRIEGO,BOTELLA,200-249 CC,38692.826399999998,323.50220000000002,12517214.477399999,39.130434780000002,48.080500000000001,45901,2025-09-01,2025-09-01,ATLANTICO | HIPERMERCADOS | SAN MARTIN | BEBIDAS LACTEAS | SAN MARTIN | GRIEGO | BOTELLA | 200-249 CC
45901,ATLANTICO,HIPERMERCADOS,COLANTA,BEBIDAS LACTEAS,COLANTA,YOG CTE + REF LACTEO,BOTELLA,1000-1500 CC,12331.3431,495.15069999999997,6105873.1637000004,52.173913040000002,61.129100000000001,45901,2025-09-01,2025-09-01,ATLANTICO | HIPERMERCADOS | COLANTA | BEBIDAS LACTEAS | COLANTA | YOG CTE + REF LACTEO | BOTELLA | 1000-1500 CC
45901,ANTIOQUIA,SUPER CADENA,DEJA-MU,BEBIDAS LACTEAS,DEJA-MU,YOG CTE + REF LACTEO,OTROS EMPAQUES,1000-1500 CC,NA,NA,NA,0,NA,45901,2025-09-01,2025-09-01,ANTIOQUIA | SUPER CADENA | DEJA-MU | BEBIDAS LACTEAS | DEJA-MU | YOG CTE + REF LACTEO | OTROS EMPAQUES | 1000-1500 CC
45901,ANTIOQUIA,CONS LOCAL,ALPINA,BEBIDAS LACTEAS,BON YURT,ADICIONES,VASO,150-199 CC,26141.831300000002,73384.152700000006,1918396142.6715,39.873254930000002,95.707099999999997,45901,2025-09-01,2025-09-01,ANTIOQUIA | CONS LOCAL | ALPINA | BEBIDAS LACTEAS | BON YURT | ADICIONES | VASO | 150-199 CC
45901,EJE CAFETERO,SUPER CADENA,ALPINA,LECHE SABORIZADA,ALPIN,CHOCOLATE,BOLSA,150-199 CC,12265.481,6476.7179999999998,79440061.807899997,41.629576069999999,33.106999999999999,45901,2025-09-01,2025-09-01,EJE CAFETERO | SUPER CADENA | ALPINA | LECHE SABORIZADA | ALPIN | CHOCOLATE | BOLSA | 150-199 CC
45901,CENTRO,SUPERETES,POSTOBON,LECHE SABORIZADA,BILAC,CHOCOLATE,BOLSA,200-249 CC,9837.2872000000007,133.49299999999999,1313208.9746999999,6.0152715199999998,4.2396000000000003,45901,2025-09-01,2025-09-01,CENTRO | SUPERETES | POSTOBON | LECHE SABORIZADA | BILAC | CHOCOLATE | BOLSA | 200-249 CC
